keyword,nu,com,net,dk,checking_date
bilspil,1,0,0,0,28-01-2022 16:08:52
bilnyheder,1,0,0,0,28-01-2022 16:08:53
billigforsikringbil,1,1,1,1,28-01-2022 16:08:55
kaybojesenbil,0,1,1,1,28-01-2022 16:08:55
trygforsikringbil,1,1,0,1,28-01-2022 16:08:57
polobil,1,1,0,1,28-01-2022 16:08:58
bilradio,0,0,0,0,28-01-2022 16:08:59
subwoofertilbil,1,1,1,1,28-01-2022 16:08:59
findejerafbil,1,1,0,0,28-01-2022 16:09:01
fjernstyretbilbenzin,1,1,1,1,28-01-2022 16:09:02
legobil,1,0,0,1,28-01-2022 16:09:03
hundeburtilbilbiltema,0,0,0,1,28-01-2022 16:09:03
sporingafbilpris,1,1,0,1,28-01-2022 16:09:05
brugtbiltilsalg,1,1,1,1,28-01-2022 16:09:06
billigbiltilsalg,1,1,1,0,28-01-2022 16:09:07
bilpolering,1,0,0,0,28-01-2022 16:09:07
coatingafbil,1,0,1,1,28-01-2022 16:09:09
bilkort,1,0,0,0,28-01-2022 16:09:10
vodskovbil,1,1,1,1,28-01-2022 16:09:11
kameratilbil,0,0,1,1,28-01-2022 16:09:11
lexusbil,0,1,1,1,28-01-2022 16:09:12
elektriskbil,1,0,0,0,28-01-2022 16:09:13
teslabil,1,1,1,1,28-01-2022 16:09:15
lakeringafbil,1,1,1,1,28-01-2022 16:09:15
polestarbil,1,1,1,1,28-01-2022 16:09:15
hjemisbil,1,1,1,1,28-01-2022 16:09:16
langtidslejebil,0,1,1,1,28-01-2022 16:09:17
korttidsleasingbrugtbil,1,0,1,1,28-01-2022 16:09:18
advarselslamperbil,1,1,1,1,28-01-2022 16:09:18
pawpatrolbil,1,1,1,1,28-01-2022 16:09:19
bilbank,1,0,0,0,28-01-2022 16:09:20
billigsteleasingbil2020,1,0,1,1,28-01-2022 16:09:21
bildba,1,1,1,0,28-01-2022 16:09:22
bilfolie,0,0,0,0,28-01-2022 16:09:22
wvbil,1,1,1,1,28-01-2022 16:09:22
billigbilforsikring,0,0,0,0,28-01-2022 16:09:24
lejningafbil,1,1,0,1,28-01-2022 16:09:25
mpvbil,1,1,0,1,28-01-2022 16:09:26
registreringsnummerbil,1,0,1,1,28-01-2022 16:09:26
bilnummerplade,1,0,1,1,28-01-2022 16:09:28
konfiskeringafbil,1,1,1,1,28-01-2022 16:09:29
plug-inhybridbil,1,1,0,1,28-01-2022 16:09:30
blocketsebil,1,1,1,1,28-01-2022 16:09:30
bilmagasinet,0,0,0,0,28-01-2022 16:09:31
bilfinansiering,0,0,0,0,28-01-2022 16:09:32
releasingbil,0,1,1,1,28-01-2022 16:09:33
leasingbilerhverv,1,1,0,0,28-01-2022 16:09:33
telttilbil,1,1,1,1,28-01-2022 16:09:35
slikbil,1,1,1,0,28-01-2022 16:09:36
cobrabil,1,1,1,1,28-01-2022 16:09:37
gpstrackerbil,1,1,0,1,28-01-2022 16:09:37
lejenbilforendag,1,0,1,1,28-01-2022 16:09:39
brintbil,0,0,1,0,28-01-2022 16:09:40
lifttilbil,1,1,1,1,28-01-2022 16:09:40
billigbrugtbil,1,1,1,0,28-01-2022 16:09:40
siddepudebil,1,1,0,1,28-01-2022 16:09:42
beregneforsikringbil,0,1,1,1,28-01-2022 16:09:43
dashcamtilbil,1,1,1,1,28-01-2022 16:09:44
hvadkosterdetathavebil,0,0,1,1,28-01-2022 16:09:44
ladbil,0,1,0,0,28-01-2022 16:09:46
forsikringafbil,1,1,1,1,28-01-2022 16:09:47
vwbil,1,1,1,1,28-01-2022 16:09:48
bilinfo,0,0,0,0,28-01-2022 16:09:48
gammelbil,1,1,0,1,28-01-2022 16:09:50
leasingafbilbillig,1,1,1,1,28-01-2022 16:09:51
finansieringbil,1,0,1,1,28-01-2022 16:09:51
kopholdertilbil,1,1,1,0,28-01-2022 16:09:51
lillebilmedautomatgear,1,1,1,1,28-01-2022 16:09:53
oliefyrtilbil,1,1,1,1,28-01-2022 16:09:54
tabletholdertilbil,1,1,1,1,28-01-2022 16:09:55
biltjek,1,0,0,0,28-01-2022 16:09:55
stelnummerbil,1,1,1,1,28-01-2022 16:09:57
stickerstilbil,1,1,1,0,28-01-2022 16:09:58
streamertilbil,1,1,1,1,28-01-2022 16:09:59
poleringafbilpris,1,1,1,1,28-01-2022 16:09:59
leasingbilprivat,0,0,1,0,28-01-2022 16:10:01
fdmforsikringbil,1,1,1,0,28-01-2022 16:10:02
skrotbil,0,0,0,0,28-01-2022 16:10:03
bobbelbil,1,1,0,0,28-01-2022 16:10:03
servicebil,0,0,1,0,28-01-2022 16:10:05
epcbil,1,0,1,1,28-01-2022 16:10:05
batteriertilbil,0,0,1,1,28-01-2022 16:10:06
bilauktionpoliti,1,1,0,1,28-01-2022 16:10:09
brugtbilmedautomatgear,1,1,1,1,28-01-2022 16:10:10
brugtbilvejle,1,0,0,1,28-01-2022 16:10:13
bilvurdering,1,0,0,0,28-01-2022 16:10:16
bildele,0,0,0,0,28-01-2022 16:10:20
billigleasingafbil,0,1,1,1,28-01-2022 16:10:23
